song, album, year, download link, release_date, primary_artists
Closer,Closer,2016,https://aac.saavncdn.com/147/88201a8381e13cd6a9399f4bbfc5b7e9_320.mp4,2016-07-29,The Chainsmokers
Let Me Love You,Encore,2016,https://aac.saavncdn.com/273/d1912077904b928c57eeb27b4b61d068_320.mp4,2016-08-05,Dj Snake
Addicted (Album Version),7 (EU Version),2003,https://aac.saavncdn.com/990/0136d27771a18535f21a76fe307fdfc2_320.mp4,2003-11-24,Enrique Iglesias
All We Know,All We Know,2016,https://aac.saavncdn.com/061/3007b79d287bb1ed2101b07284278478_320.mp4,2016-09-29,The Chainsmokers
Don&#039;t Wanna Know,Don&#039;t Wanna Know,2016,https://aac.saavncdn.com/718/725538d7d9399c60b25340dccea46fbe_320.mp4,2016-10-11,Maroon 5
Faded,Faded,2015,https://aac.saavncdn.com/616/145881b21c58e060d55c604b905298b6_320.mp4,2015-12-04,Alan Walker
Don&#039;t Let Me Down,Don&#039;t Let Me Down,2016,https://aac.saavncdn.com/848/e0a7b609705dbbb6e387a41582ca3b31_320.mp4,2016-02-05,The Chainsmokers
Love Me Like You Do (From &quot;Fifty Shades Of Grey&quot;),Love Me Like You Do (From &quot;Fifty Shades Of Grey&quot;),2015,https://aac.saavncdn.com/566/40acfcef43a8ce46a9cc83370ed3f06d_320.mp4,2015-01-07,Ellie Goulding
The Greatest,This Is Acting (Deluxe Version),2016,https://aac.saavncdn.com/832/54f46d195029b2756f567bf9976e71dc_320.mp4,2016-10-21,Sia
Black Beatles,SremmLife 2 (Deluxe),2016,https://aac.saavncdn.com/430/fd920103063ff82f91337a196b323186_320.mp4,2016-08-12,Rae Sremmurd
We Don&#039;t Talk Anymore (feat. Selena Gomez),Nine Track Mind,2016,https://aac.saavncdn.com/850/5952fccb5414a98de39f08303164f6df_320.mp4,2016-01-29,Charlie Puth
Fake Love,Fake Love,2016,https://aac.saavncdn.com/046/3197d4a54832cfc7f3de3d84b766d415_320.mp4,2016-11-04,Drake
Bad Things (With Camila Cabello),Bad Things,2016,https://aac.saavncdn.com/605/d031dc8d4a1dfc2a2ba5f2e199e4f378_320.mp4,2016-10-14,Camila Cabello, Machine Gun Kelly
In the Name of Love,In the Name of Love,2016,https://aac.saavncdn.com/088/3634f11532680d3adeb1d3ecddb8813a_320.mp4,2016-07-29,Bebe Rexha, Martin Garrix
Lean On,Peace Is the Mission,2015,https://aac.saavncdn.com/482/3213361deb5ac551ce9a35bc334574c3_320.mp4,2015-08-07,Major Lazer, Dj Snake
Shape of You,Shape of You,2017,https://aac.saavncdn.com/126/da7cde34b008294e181842062530546d_320.mp4,2017-01-06,Ed Sheeran
Cheap Thrills,Cheap Thrills,2015,https://aac.saavncdn.com/722/6732a876fbd4c12a55792713c1ce211d_320.mp4,2015-12-17,Sia
Cheers (Drink To That) (Album Version),Loud,2010,https://aac.saavncdn.com/340/abc65ca703e3766b7b8d542771c7f425_320.mp4,2010-01-01,Rihanna
Break It Off (Album Version),A Girl Like Me,2005,https://aac.saavncdn.com/775/540b913f2f335b8cc49113d80515bfe5_320.mp4,2005-01-01,Sean Paul, Rihanna
Dancing In The Dark (From The &quot;Home&quot; Soundtrack),Home,2015,https://aac.saavncdn.com/004/5273efd402722a49d325f6061394e9e8_320.mp4,2015-03-23,Rihanna
We Found Love (Album Version),Talk That Talk,2011,https://aac.saavncdn.com/416/8af18b6bfdd498201a625b9aad394215_320.mp4,2011-01-01,Rihanna
Wrecking Ball,Wrecking Ball,2013,https://aac.saavncdn.com/757/d328b21c4b53be5ef99581f3467bf035_320.mp4,2013-08-25,Miley Cyrus
Hold My Hand (Duet With Akon),Hold My Hand,2010,https://aac.saavncdn.com/676/e172c417f660393ef52fa3ebcd864cc8_320.mp4,2010-11-15,Akon, Michael Jackson, Michael Jackson Duet With Akon
I Wanna Love You (Album Version (Explicit)),I Wanna Love You,2006,https://aac.saavncdn.com/124/04adebee5a61f6ebc81cc68377eb4390_320.mp4,2006-12-04,Akon
Don&#039;t Matter (Radio Edit),Don&#039;t Matter (Intl 2Trk),2007,https://aac.saavncdn.com/211/46fc1d0021105225b46c6ca0fcc44011_320.mp4,2007-01-01,Akon
I Wanna Love You (Album Version (Explicit)),Konvicted (Explicit Version),2006,https://aac.saavncdn.com/834/ab25a9ee7646263716bb7d922328a9fd_320.mp4,2006-11-20,Akon
Smack That (Clean),Smack That (Edited Version),2006,https://aac.saavncdn.com/648/63b7042e942d818bda60714a4503d45d_320.mp4,2006-09-29,Akon
Right Now (Na Na Na),Right Now (Na Na Na),2008,https://aac.saavncdn.com/175/a00ac35a6bb47d5969a225f83fc6d906_320.mp4,2008-01-01,Akon
We Don&#039;t Care (Album Version),Freedom,2008,https://aac.saavncdn.com/375/e7a21e8ebd0c2843df864eb778e12455_320.mp4,2008-01-01,Akon
Lonely (Old Version),Trouble Deluxe Edition (International Version),2005,https://aac.saavncdn.com/882/8c461f25eab606ddcfe886a96fc1e192_320.mp4,2005-01-01,Akon
I Don’t Wanna Live Forever (Fifty Shades Darker),I Don’t Wanna Live Forever (Fifty Shades Darker),2016,https://aac.saavncdn.com/502/9efbd67249d837a50f5fbf738d8a6bb8_320.mp4,2016-12-09,Zayn Malik, Taylor Swift
Only You,13 Reasons Why (A Netflix Original Series Soundtrack),2017,https://aac.saavncdn.com/386/aebc3be280cf6d8968a717b48c87ccd9_320.mp4,2017-03-30,Selena Gomez
Get Low,Get Low,2014,https://aac.saavncdn.com/250/8c6286cedfaf19daadd8bfd07ce02e20_320.mp4,2014-05-22,Dj Snake, Dillon Francis
Perfect Strangers,Perfect Strangers,2016,https://aac.saavncdn.com/176/6b9473a196c241b1bd3db33e3fd35734_320.mp4,2016-06-03,Jonas Blue
Attention,Attention,2017,https://aac.saavncdn.com/292/cd080a5ab86f380a194bda417682efb2_320.mp4,2017-04-21,Charlie Puth
Baby,My World 2.0,2010,https://aac.saavncdn.com/728/f97ddf3a53f86e2d0412da777241902c_320.mp4,2010-01-01,Justin Bieber
Something Just Like This,Something Just Like This,2017,https://aac.saavncdn.com/168/c3ff67fbe7ab6cac1e90d8e3499c51d5_320.mp4,2017-02-22,The Chainsmokers, Coldplay
Sign of the Times,Sign of the Times,2017,https://aac.saavncdn.com/772/d2d4f4a55a35927cafce9b1e8c445d82_320.mp4,2017-04-07,Harry Styles
It Ain&#039;t Me,It Ain&#039;t Me,2017,https://aac.saavncdn.com/423/1e5bfcace91f29b5eeddb200cd2538d2_320.mp4,2017-02-16,Kygo, Selena Gomez
There&#039;s Nothing Holdin&#039; Me Back,Illuminate (Deluxe),2017,https://aac.saavncdn.com/486/0d9352b5b7903937c73c2cc2f3dbdc7e_320.mp4,2017-04-20,Shawn Mendes
Kissing Strangers,Kissing Strangers,2017,https://aac.saavncdn.com/289/3757761932803bf4f74ac7e2ab7fdad3_320.mp4,2017-04-14,DNCE
Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),2017,https://aac.saavncdn.com/780/e33234e46a0aa1ee75f00be6dfab5e36_320.mp4,2017-03-17,Clean Bandit
